Ranking 2023,Country,Score 2023,Political Context 2023,Economic Context 2023,Legal Framework 2023,Safety Score 2023,Sociocultural Context 2023,Difference In Position From 2022,Year 2023,Ranking 2022,Score 2022,Political Context 2022,Economic Context 2022,Legal Framework 2022,Safety Score 2022,Sociocultural Context 2022,Year 2022
1,Norway,95.18,96.54,92.46,94.92,95.98,95.98,0,2023,1,92.65,94.89,90.38,92.23,92.03,93.71,2022
2,Ireland,89.91,93.91,82.11,82.55,96.94,94.03,4,2023,6,88.3,89.24,79.08,85.09,95.58,92.5,2022
3,Denmark,89.48,91.95,85.17,87.5,95.0,87.78,-1,2023,2,90.27,94.34,83.67,89.18,92.97,91.17,2022
4,Sweden,88.15,92.58,86.08,88.74,84.72,88.64,-1,2023,3,88.84,91.96,87.66,90.27,84.14,90.18,2022
5,Finland,87.94,91.55,83.8,84.86,90.35,89.17,0,2023,5,88.42,90.4,82.03,86.64,92.26,90.77,2022
6,Netherlands,87.0,88.93,89.08,90.3,80.18,86.53,22,2023,28,77.93,86.3,82.86,87.28,47.09,86.1,2022
7,Lithuania,86.79,88.0,77.65,84.53,94.33,89.43,2,2023,9,84.14,87.01,72.16,84.46,87.37,89.71,2022
8,Estonia,85.31,85.36,76.75,82.88,90.79,90.75,-4,2023,4,88.83,91.11,81.97,87.87,93.2,90.0,2022
9,Portugal,84.6,86.32,71.02,84.38,91.48,89.77,-2,2023,7,87.07,91.86,77.41,84.21,88.73,93.14,2022
10,Timor-Leste,84.49,81.88,74.51,83.02,95.93,87.12,7,2023,17,81.89,85.45,68.71,85.96,93.65,75.67,2022
11,Liechtenstein,84.47,85.63,69.93,81.45,94.44,90.91,-1,2023,10,84.03,80.36,68.78,84.74,96.46,89.8,2022
12,Switzerland,84.4,87.42,72.79,77.95,91.52,92.33,2,2023,14,82.72,90.0,68.37,80.99,85.92,88.33,2022
13,New Zealand,84.23,89.69,77.45,78.62,91.3,84.09,-2,2023,11,83.54,90.15,75.26,74.78,87.76,89.75,2022
14,Czech Republic,83.58,82.19,65.52,86.64,92.27,91.29,6,2023,20,80.54,79.66,61.56,84.21,88.81,88.44,2022
15,Canada,83.53,88.13,72.22,86.48,82.56,88.26,4,2023,19,81.74,82.27,71.17,80.26,82.99,92.0,2022
16,Latvia,83.27,85.69,73.97,79.45,91.26,85.98,6,2023,22,79.17,78.96,64.58,80.89,84.06,87.36,2022
17,Slovakia,83.22,78.04,75.16,82.96,90.07,89.85,10,2023,27,78.37,71.44,67.98,82.02,84.01,86.38,2022
18,Iceland,83.19,86.04,68.35,82.35,92.22,87.01,-3,2023,15,82.69,86.21,65.56,82.68,91.5,87.5,2022
19,Samoa,82.15,76.88,72.55,67.92,99.09,94.32,26,2023,45,71.39,61.82,56.12,64.91,89.12,85.0,2022
20,Luxembourg,81.98,87.42,71.94,76.77,91.67,82.1,1,2023,21,79.81,82.94,66.33,72.93,88.14,88.71,2022
21,Germany,81.91,87.33,82.31,85.85,66.88,87.19,-5,2023,16,82.04,87.03,80.07,87.08,66.58,89.47,2022
22,Namibia,80.91,75.75,70.78,79.81,90.48,87.73,-4,2023,18,81.84,72.97,69.8,82.98,91.84,91.6,2022
23,Costa Rica,80.2,65.94,70.59,85.93,90.56,87.97,-15,2023,8,85.92,81.62,72.96,87.72,94.78,92.5,2022
